Data source name,Variable Id,Standard Variable Name,Long Variable Name,Unit,Missing Value/FillValue,Value Max,Value Min,Calendar,Cell Method,Scale Factor,Temporal Coverage,Data freshness,Geographic coverage polygon,Geographic coverage name,Spatial Resolution,CKAN resource id
FLDAS_NOAH01,RadT_tavg,surface_radiative_temperature,surface radiative temperature,K,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Qsb_tavg,subsurface_runoff_amount,subsurface runoff amount,kg m-2 s-1,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Qs_tavg,surface_runoff_amount,surface runoff,kg m-2 s-1,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Qle_tavg,surface_upward_latent_heat_flux,latent heat flux,W m-2,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Qh_tavg,surface_upward_sensible_heat_flux,sensible heat flux,W m-2,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Qair_f_tavg,specific_humidity,specific humidity,kg kg-1,-9999,0.029999999,0,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Qg_tavg,downward_heat_flux_in_soil,soil heat flux,W m-2,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Psurf_f_tavg,surface_air_pressure,surface pressure,Pa,-9999,110000,5000,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Lwnet_tavg,surface_net_downward_longwave_flux,net downward longwave radiation,W m-2,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,LWdown_f_tavg,surface_downwelling_longwave_flux_in_air,surface downward longwave radiation,W m-2,-9999,750,0,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Evap_tavg,total_evapotranspiration,total evapotranspiration,kg m-2 s-1,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
af_riv_30s,,channel~river,,,,,,,,,2006-05-01T00:00:00/2006-05-01T23:59:59,,"Polygon ((4.60 30.46, 4.60 31.53, 6.25 31.53, 6.25 30.46, 4.60 30.46))",B6.25-30.46-4.60-31.53,,75635f4d-2a31-4cc6-9e49-7cf9a5fdc6b1
wbd_wgs84,CatNum,boundary,,,,,,,,,2018-04-09T00:00:00/2018-04-09T:29:59:59,,"Polygon ((6.33 30.40, 6.33 31.60,4.50 31.60, 4.50 30.40, 6.33 30.40)) ",B4.50-30.40-6.33-31.60,,0e6a6045-9a67-4767-ab87-126139afcb0f
